City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Victoria,HK,70.0,scattered clouds,22.2855,114.1577,Mini Hotel Central
1,Hermanus,ZA,80.01,few clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
2,Bengkulu,ID,80.64,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
3,Swan Hill,AU,77.02,clear sky,-35.3378,143.5544,Lazy River Motor Inn
4,Pisco,PE,68.0,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
5,Castro,BR,64.99,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
6,Kruisfontein,ZA,82.99,clear sky,-34.0033,24.7314,Oyster Bay House Rental
7,Bluff,NZ,55.8,moderate rain,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
8,Hithadhoo,MV,82.67,broken clouds,-0.6,73.0833,Scoop Guest House
9,Avarua,CK,75.2,few clouds,-21.2078,-159.775,Paradise Inn
10,Lorengau,PG,83.19,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
11,Rikitea,PF,78.31,light rain,-23.1203,-134.9692,Pension Maro'i
12,Sao Filipe,CV,75.0,broken clouds,14.8961,-24.4956,Tortuga B&B
13,Arraial Do Cabo,BR,77.0,clear sky,-22.9661,-42.0278,Pousada Porto Praia
14,Tukrah,LY,70.68,clear sky,32.5341,20.5791,Lokta restaurant
15,Poum,NC,79.59,broken clouds,-20.2333,164.0167,Gîte kajeon
16,Burnie,AU,59.61,scattered clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
17,Codrington,AU,58.21,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
18,Beira,MZ,89.01,scattered clouds,-19.8436,34.8389,Beira Terrace Hotel
19,Bredasdorp,ZA,80.01,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
20,Airai,TL,62.64,overcast clouds,-8.9266,125.4092,Juvinal Martin
21,Hobart,AU,64.99,scattered clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
22,Busselton,AU,82.0,clear sky,-33.65,115.3333,Observatory Guest House
23,Puerto Del Rosario,ES,66.2,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
24,Georgetown,MY,89.6,scattered clouds,5.4112,100.3354,Cititel Penang
25,Rocha,UY,65.01,overcast clouds,-34.4833,-54.3333,Beleza Pura B&B
