City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Victoria,HK,22.2855,114.1577,70.0,71,35,1.01,scattered clouds
1,Vilyuysk,RU,63.7553,121.6247,-51.02,75,55,2.64,broken clouds
2,Pangnirtung,CA,66.1451,-65.7125,-4.13,81,95,2.17,overcast clouds
3,Hermanus,ZA,-34.4187,19.2345,80.01,59,11,10.0,few clouds
4,Bengkulu,ID,-3.8004,102.2655,80.64,76,100,8.66,overcast clouds
5,Swan Hill,AU,-35.3378,143.5544,77.02,23,0,4.21,clear sky
6,Kostomuksha,RU,64.571,30.5767,16.3,97,100,2.48,overcast clouds
7,Pisco,PE,-13.7,-76.2167,68.0,77,0,4.61,clear sky
8,Castro,BR,-24.7911,-50.0119,64.99,96,100,5.88,overcast clouds
9,Kruisfontein,ZA,-34.0033,24.7314,82.99,50,0,8.01,clear sky
10,Bluff,NZ,-46.6,168.3333,55.8,81,100,3.56,moderate rain
11,Coihaique,CL,-45.5752,-72.0662,41.0,93,0,2.17,clear sky
12,Albany,US,42.6001,-73.9662,9.0,59,19,2.71,few clouds
13,Hithadhoo,MV,-0.6,73.0833,82.67,75,69,15.66,broken clouds
14,Ushuaia,AR,-54.8,-68.3,50.0,53,0,10.36,clear sky
15,Avarua,CK,-21.2078,-159.775,75.2,94,20,1.14,few clouds
16,Fort Nelson,CA,58.8053,-122.7002,-18.4,76,40,3.27,scattered clouds
17,Lorengau,PG,-2.0226,147.2712,83.19,75,100,12.28,overcast clouds
18,Rikitea,PF,-23.1203,-134.9692,78.31,77,51,11.74,light rain
19,Yellowknife,CA,62.456,-114.3525,-18.0,76,1,4.61,clear sky
20,Longyearbyen,SJ,78.2186,15.6401,-5.8,54,20,18.41,few clouds
21,Sao Filipe,CV,14.8961,-24.4956,75.0,58,78,10.65,broken clouds
22,Punta Arenas,CL,-53.15,-70.9167,48.2,71,0,17.27,clear sky
23,Arraial Do Cabo,BR,-22.9661,-42.0278,77.0,73,0,14.97,clear sky
24,Tukrah,LY,32.5341,20.5791,70.68,38,0,22.64,clear sky
25,Tuktoyaktuk,CA,69.4541,-133.0374,-22.85,84,98,1.03,overcast clouds
26,Poum,NC,-20.2333,164.0167,79.59,74,64,12.93,broken clouds
27,Burnie,AU,-41.0667,145.9167,59.61,84,41,8.68,scattered clouds
28,Talnakh,RU,69.4865,88.3972,-29.9,71,0,8.32,clear sky
29,Dudinka,RU,69.4058,86.1778,-31.32,76,1,8.41,clear sky
30,Chumikan,RU,54.7183,135.315,-13.88,78,1,28.21,clear sky
31,Codrington,AU,-38.2667,141.9667,58.21,79,0,10.76,clear sky
32,Beira,MZ,-19.8436,34.8389,89.01,61,25,4.76,scattered clouds
33,Bredasdorp,ZA,-34.5322,20.0403,80.01,59,0,10.0,clear sky
34,Airai,TL,-8.9266,125.4092,62.64,100,100,3.53,overcast clouds
35,Hobart,AU,-42.8794,147.3294,64.99,59,40,8.05,scattered clouds
36,Asau,RO,46.4333,26.4,30.99,57,99,4.34,light snow
37,Dikson,RU,73.5069,80.5464,-33.05,79,0,6.58,clear sky
38,Busselton,AU,-33.65,115.3333,82.0,56,0,3.0,clear sky
39,Puerto Del Rosario,ES,28.5004,-13.8627,66.2,72,20,13.8,few clouds
40,Tasiilaq,GL,65.6145,-37.6368,15.8,53,75,2.3,broken clouds
41,Bongandanga,CD,1.5,21.05,93.65,41,90,2.13,overcast clouds
42,Adrar,MR,20.5022,-10.0711,72.43,20,35,11.27,scattered clouds
43,Georgetown,MY,5.4112,100.3354,89.6,55,40,9.22,scattered clouds
44,Rocha,UY,-34.4833,-54.3333,65.01,89,100,15.41,overcast clouds
45,Agadez,NE,19.75,10.25,71.62,19,0,2.28,clear sky
46,Sangar,RU,63.9242,127.4739,-47.11,77,70,5.59,broken clouds
47,Beloha,MG,-25.1667,45.05,98.28,33,18,7.11,few clouds
48,Atuona,PF,-9.8,-139.0333,78.85,75,42,18.37,scattered clouds
49,Butaritari,KI,3.0707,172.7902,81.34,81,67,15.57,broken clouds
50,New Norfolk,AU,-42.7826,147.0587,64.99,56,83,2.51,broken clouds
