City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Busselton,AU,2022-01-21 05:49:42,-33.65,115.3333,106.05,27,2,13.62
1,Touros,BR,2022-01-21 05:49:42,-5.1989,-35.4608,77.9,75,52,7.54
2,Port Hawkesbury,CA,2022-01-21 05:49:42,45.6169,-61.3485,24.19,88,90,7.0
3,Kichmengskiy Gorodok,RU,2022-01-21 05:49:43,59.9816,45.7854,17.6,90,100,10.22
4,Mutis,CO,2022-01-21 05:49:43,6.2262,-77.4044,77.49,89,89,4.72
5,Yellowknife,CA,2022-01-21 05:49:43,62.456,-114.3525,-7.58,85,100,16.11
6,Los Llanos De Aridane,ES,2022-01-21 05:49:44,28.6585,-17.9182,59.13,91,20,5.01
7,Bad Salzungen,DE,2022-01-21 05:49:44,50.8167,10.2333,32.72,79,53,6.91
8,Airai,TL,2022-01-21 05:49:45,-8.9266,125.4092,61.93,95,100,3.8
9,Yasnyy,RU,2022-01-21 05:49:45,51.0333,59.8742,2.21,94,99,5.93
10,Kodiak,US,2022-01-21 05:49:45,57.79,-152.4072,38.28,98,100,14.97
11,Riyadh,SA,2022-01-21 05:44:51,24.6877,46.7219,42.94,30,0,18.05
12,San Carlos Del Zulia,VE,2022-01-21 05:49:46,9.0,-71.9135,74.46,85,10,4.32
13,Pevek,RU,2022-01-21 05:48:34,69.7008,170.3133,-34.46,97,20,1.25
14,Ushuaia,AR,2022-01-21 05:49:46,-54.8,-68.3,49.12,94,7,4.7
15,Cockburn Town,TC,2022-01-21 05:49:47,21.4612,-71.1419,78.46,73,0,21.3
16,Kapaa,US,2022-01-21 05:49:47,22.0752,-159.319,75.18,70,0,6.91
17,Chokurdakh,RU,2022-01-21 05:49:47,70.6333,147.9167,-38.49,99,91,5.03
18,Hobart,AU,2022-01-21 05:49:48,-42.8794,147.3294,83.12,48,20,1.01
19,Leeton,AU,2022-01-21 05:49:49,-34.5667,146.4,85.89,24,0,9.4
20,Puerto Ayora,EC,2022-01-21 05:49:49,-0.7393,-90.3518,72.72,93,46,6.29
21,Padang,ID,2022-01-21 05:49:49,-0.9492,100.3543,86.05,65,86,6.58
22,Jamestown,US,2022-01-21 05:45:57,42.097,-79.2353,11.52,78,90,6.91
23,Lavrentiya,RU,2022-01-21 05:49:50,65.5833,-171.0,-16.08,92,19,14.74
24,Bandarbeyla,SO,2022-01-21 05:49:50,9.4942,50.8122,79.61,63,78,20.22
25,Port Lincoln,AU,2022-01-21 05:49:51,-34.7333,135.8667,72.93,77,100,6.38
26,Albany,US,2022-01-21 05:49:51,42.6001,-73.9662,11.08,65,68,8.01
27,Rikitea,PF,2022-01-21 05:49:20,-23.1203,-134.9692,77.99,78,99,11.63
28,Port Elizabeth,ZA,2022-01-21 05:49:51,-33.918,25.5701,74.1,83,75,13.8
29,Worland,US,2022-01-21 05:49:52,44.0169,-107.9554,29.59,85,75,6.91
30,Vaini,TO,2022-01-21 05:49:53,-21.2,-175.2,81.46,81,28,16.46
31,Bredasdorp,ZA,2022-01-21 05:49:54,-34.5322,20.0403,66.27,70,4,12.15
32,Gallup,US,2022-01-21 05:49:54,35.5281,-108.7426,28.24,70,0,3.44
33,Mataura,NZ,2022-01-21 05:49:54,-46.1927,168.8643,57.47,61,69,8.61
34,New Norfolk,AU,2022-01-21 05:49:55,-42.7826,147.0587,82.76,19,11,4.0
35,Geraldton,AU,2022-01-21 05:49:55,-28.7667,114.6,108.01,9,0,20.71
36,Butaritari,KI,2022-01-21 05:49:55,3.0707,172.7902,81.95,77,95,16.53
37,Petropavlovsk-Kamchatskiy,RU,2022-01-21 05:49:56,53.0452,158.6483,27.19,69,75,0.0
38,Arlit,NE,2022-01-21 05:49:56,18.7369,7.3853,52.02,27,0,5.01
39,Saskylakh,RU,2022-01-21 05:49:57,71.9167,114.0833,-11.38,90,81,8.68
40,Port Alfred,ZA,2022-01-21 05:48:33,-33.5906,26.891,74.86,78,96,11.27
41,Dromolaxia,CY,2022-01-21 05:49:57,34.8761,33.586,48.97,62,3,4.63
42,Hajiganj,BD,2022-01-21 05:49:57,23.2511,90.8592,75.33,29,44,4.61
43,Faanui,PF,2022-01-21 05:49:58,-16.4833,-151.75,81.3,76,100,18.21
44,Booue,GA,2022-01-21 05:49:58,-0.0921,11.9385,72.81,94,75,1.32
